DS_ESCOLARIDADE
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO INCOMPLETO
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
LÊ E ESCREVE
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
SUPERIOR INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
LÊ E ESCREVE
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR INCOMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR INCOMPLETO
LÊ E ESCREVE
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR INCOMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
ENSINO MÉDIO INCOMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR INCOMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO FUNDAMENTAL COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO INCOMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO MÉDIO COMPLETO
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
LÊ E ESCREVE
SUPERIOR COMPLETO
SUPERIOR COMPLETO
ENSINO FUNDAMENTAL INCOMPLETO
