SG_UE	NM_UE	CD_CARGO	DS_CARGO	SQ_CANDIDATO	NR_CANDIDATO	NM_CANDIDATO	NM_URNA_CANDIDATO
20133	DIAMANTE	13	VEREADOR	1,50002E+11	15333	JOSÉ VENÂNCIO DE MOURA NETO	VENÂNCIO
19240	CARAÚBAS	13	VEREADOR	1,50002E+11	15123	JOAO ALFREDO DA SILVA FILHO	JOAOZINHO DO PIPA
21415	POCINHOS	13	VEREADOR	1,50002E+11	15222	MOISÉS GUIMARÃES MENDONÇA CUNHA	MOISÉS GUIMARÃES
22012	SÃO MIGUEL DE TAIPU	11	PREFEITO	1,50002E+11	10	FELIPPE SALES CARNEIRO DA CUNHA	DR FELIPPE
20214	ESPERANÇA	13	VEREADOR	1,50002E+11	15456	RONALDO DE ARRUDA CAMARA	RONALDO DE LUZIETE
19259	AROEIRAS	13	VEREADOR	1,50002E+11	40789	RINALDO DA SILVA MENDES	RINALDO MENDES
20095	DESTERRO	11	PREFEITO	1,50002E+11	10	TIAGO SIMÕES DOS SANTOS	TIAGO
21253	PEDRAS DE FOGO	13	VEREADOR	1,50002E+11	20888	CLÁUDIO QUEIROZ DE SOUZA	CLÁUDIO VAPOR
19062	CAPIM	13	VEREADOR	1,50002E+11	10777	LUIS FELIPE COUTINHO GUERRA	FELIPE GUERRA
19739	CAIÇARA	13	VEREADOR	1,50002E+11	40333	ROSALIA FELIX DA COSTA GUEDES	ROSALIA DA SUADE
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	15000	REJANIO FERREIRA DA SILVA	NEGO
19119	ALHANDRA	13	VEREADOR	1,50002E+11	10444	DIMAS PEREIRA DE LIMA	NINO BARBEIRO
21075	NOVA PALMEIRA	13	VEREADOR	1,50002E+11	15555	GIBANILSON DOS SANTOS OLIVEIRA	GIL DE GILMAR
19615	CAAPORÃ	13	VEREADOR	1,50002E+11	44222	JOSELMA SOUZA DIAS	IRMÃ JOSELMA
19704	COXIXOLA	11	PREFEITO	1,50002E+11	44	NELSON JOSÉ NEVES HONORATO	NELSINHO HONORATO
20850	MASSARANDUBA	13	VEREADOR	1,50002E+11	70222	JOILDO SOUZA DE LIMA	JOILDO
19399	BELÉM	13	VEREADOR	1,50002E+11	44555	MARCOS DA SILVA GONZAGA	MARCO DO PORTÃO
19526	POÇO DE JOSÉ DE MOURA	13	VEREADOR	1,50002E+11	10111	PAULA FRASSINETTI BATISTA SOARES	PAULA BATISTA
20737	LUCENA	13	VEREADOR	1,50002E+11	10555	ELTON GOMES DA SILVA	ELTON GOMES
21059	NOVA OLINDA	12	VICE-PREFEITO	1,50002E+11	10	VALDOMIRO PEREIRA DE LIMA	VALDOMIRO
21814	SÃO JOÃO DO CARIRI	13	VEREADOR	1,50002E+11	55555	JOSE ROBERTO PEREIRA MEDEIROS DE BRITO	ZÉ ROBERTO MEDEIROS
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	15369	ALYSSON SANTANA DOS SANTOS	ALYSSON SANTANA
19992	CRUZ DO ESPÍRITO SANTO	13	VEREADOR	1,50002E+11	10222	EDVALDO DANTAS	VAVÁ VIGILANTE
19992	CRUZ DO ESPÍRITO SANTO	13	VEREADOR	1,50002E+11	10333	JOSE MILSON ROZENO	MILSON ROZENO
21814	SÃO JOÃO DO CARIRI	13	VEREADOR	1,50002E+11	40222	RADAMEIS DE SOUZA ARAUJO	RADAMEIS
20435	ITAPOROROCA	13	VEREADOR	1,50002E+11	44555	NEUZA FERNANDES MADRUGA DE FRANÇA	NEUZA MADRUGA
19259	AROEIRAS	11	PREFEITO	1,50002E+11	11	DOMINGOS MARQUES BARBOSA FILHO	CÉSAR MARQUES
19062	CAPIM	13	VEREADOR	1,50002E+11	11222	EDSON SEVERINO DOS SANTOS	IRMÃO EDSON
21750	SANTA RITA	13	VEREADOR	1,50002E+11	70070	IZABEL DA SILVA SANTOS	IZABEL SILVA
19372	BAYEUX	13	VEREADOR	1,50002E+11	77777	SEVERINO RAMOS SOARES FILHO	RAMINHO FILHO
19224	SÃO DOMINGOS DO CARIRI	13	VEREADOR	1,50002E+11	15500	MARIA DAS GRAÇAS DE MELO PEREIRA	GRAÇA
20990	NATUBA	13	VEREADOR	1,50002E+11	10111	WALLISON FABIANO FABRICIO DE VASCONCELOS	WALLISON DE BIANO
19500	BERNARDINO BATISTA	13	VEREADOR	1,50002E+11	40222	IDIAMIM BERNARDINO DE ABREU	IDIAMIM BERNARDINO
20133	DIAMANTE	13	VEREADOR	1,50002E+11	12444	CICERO VENANCIO DE MOURA	CICERO VENANCIO
22039	SÃO SEBASTIÃO DE LAGOA DE ROÇA	12	VICE-PREFEITO	1,50002E+11	11	CICERO ARRISSON DE MELO SOARES	CICERO
19895	CONCEIÇÃO	11	PREFEITO	1,50002E+11	40	LUAN BATISTA FERREIRA	LUAN FERREIRA
21415	POCINHOS	13	VEREADOR	1,50002E+11	15888	DAIANE ELIAS BELARMINO	DAIANE
20052	CUITEGI	13	VEREADOR	1,50002E+11	40000	JOANA D ARC DE ARAÚJO MONTEIRO	DARC DE GERMANO
21733	SANTANA DOS GARROTES	13	VEREADOR	1,50002E+11	40555	FRANCISCO ZACARIAS CUSTÓDIO	BOIM ZACARIAS
19330	BARRA DE SANTA ROSA	13	VEREADOR	1,50002E+11	12555	ELITIEL FERNANDES BARRETO	TIEL BARRETO
19810	CAMPINA GRANDE	13	VEREADOR	1,50002E+11	44500	PRISCILA SOARES BRAZ	PRISCILA MARAVILHA
19968	MARCAÇÃO	12	VICE-PREFEITO	1,50002E+11	10	FERNANDA DA CONCEIÇÃO GOMES	FERNANDA CONDADO
19569	SANTA INÊS	13	VEREADOR	1,50002E+11	44444	ROBENILDO CARVALHO DE SOUSA	ROBENILDO CARVALHO
20516	JOÃO PESSOA	13	VEREADOR	1,50002E+11	70110	RADAMEZ OTAVIO DA SILVA	IRMÃO RADAMEZ
21512	QUEIMADAS	13	VEREADOR	1,50002E+11	40000	DIEGO GOMES DO RÊGO	BUIU DE ZÉ PEBA
20737	LUCENA	13	VEREADOR	1,50002E+11	15000	JOSE ROBERTO GOMES FILHO	ROBERTO REFRIGERAÇÃO
19712	CACIMBA DE DENTRO	13	VEREADOR	1,50002E+11	10222	LEANDRO SOARES DA SILVA	LEANDRO SOARES
20397	ITABAIANA	13	VEREADOR	1,50002E+11	13012	MARCELINO MACIEL DA SILVA	MARCELINHO
20893	MOGEIRO	13	VEREADOR	1,50002E+11	40111	EDUARDO BATISTA DA SILVA	EDUARDO MOTO TÁXI
20370	INGÁ	13	VEREADOR	1,50002E+11	15000	DIOCLECIO GOMES DA SILVA	KEKÉ DE SABARÁ
20010	CUBATI	13	VEREADOR	1,50002E+11	11000	DOUGLAS MARQUES DE SOUSA	DOUGLAS MARQUES
19631	CABACEIRAS	13	VEREADOR	1,50002E+11	11789	AGNELO DE FREITAS CAVALCANTI FILHO	NELLO CAVALCANTI
21270	PIANCÓ	13	VEREADOR	1,50002E+11	10111	CHRISTTIANNE VIRIGINA PALITOT REMIGIO CARVALHO ALMEIDA	CHRISTTIANNE REMIGIO
19330	BARRA DE SANTA ROSA	13	VEREADOR	1,50002E+11	12333	JOSE ERIVAILDO BURITI SILVA	IDINHA BURITI
19640	POÇO DANTAS	13	VEREADOR	1,50002E+11	10555	DEUZIANO GREGORIO GOMES	DEUZIANO GREGÓRIO
20117	VISTA SERRANA	13	VEREADOR	1,50002E+11	40777	MARCOS VINICIUS DA SILVA GARCIA	VINICIUS DE ZE DE LUCAS
